SURVEY:  PS1MD
SNID:  1980n
otherID: 
IAUC:    UNKNOWN
RA:        50.75125  deg
DECL:       -37.213889  deg
REDSHIFT_FINAL:  0.005653 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 44586.8
FILTERS:    JH 
# keywords from LC processing:
# PSFTRIM: 
# PHOTCAT: 
# CNTRD_FLUX_OFFSET: 
# HOSTNAME:
# IMSIZE_PIX:
# DIST_FROM_CENTER_DEG:

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 28
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG
OBS: 44590.7 J NULL 469894 21634 13.32 0.05 0x00
OBS: 44591.5 J NULL 398107 25660 13.5 0.07 0x00
OBS: 44592.7 J NULL 359749 13250 13.61 0.04 0x00
OBS: 44596.6 J NULL 173780 6400 14.4 0.04 0x00
OBS: 44618.6 J NULL 218776 6043 14.15 0.03 0x00
OBS: 44621.6 J NULL 162929 4500 14.47 0.03 0x00
OBS: 44624.6 J NULL 124738 4594 14.76 0.04 0x00
OBS: 44631.7 J NULL 67920 3127 15.42 0.05 0x00
OBS: 44653.5 J NULL 20137 1483 16.74 0.08 0x00
OBS: 44657.6 J NULL 19054 3859 16.8 0.22 0x00
OBS: 44667.5 J NULL -99 -99 0.0 0.0 0x00
OBS: 44676.5 J NULL 8709 1283 17.65 0.16 0x00
OBS: 44677.5 J NULL 8394 1545 17.69 0.2 0x00
OBS: 44685.5 J NULL 9638 1686 17.54 0.19 0x00
OBS: 44590.7 H NULL 424619 19549 13.43 0.05 0x00
OBS: 44591.5 H NULL 413047 26623 13.46 0.07 0x00
OBS: 44592.7 H NULL 444631 16376 13.38 0.04 0x00
OBS: 44596.6 H NULL 420726 15496 13.44 0.04 0x00
OBS: 44618.6 H NULL 409260 11305 13.47 0.03 0x00
OBS: 44621.6 H NULL 343557 9490 13.66 0.03 0x00
OBS: 44624.6 H NULL 291071 10720 13.84 0.04 0x00
OBS: 44631.7 H NULL 212813 9798 14.18 0.05 0x00
OBS: 44653.5 H NULL 90364 6656 15.11 0.08 0x00
OBS: 44657.6 H NULL 87096 17643 15.15 0.22 0x00
OBS: 44667.5 H NULL 50582 0 15.74 0.0 0x00
OBS: 44676.5 H NULL 39810 5865 16.0 0.16 0x00
OBS: 44677.5 H NULL 31915 5877 16.24 0.2 0x00
OBS: 44685.5 H NULL 25118 4394 16.5 0.19 0x00
END:
