SURVEY:  PS1MD
SNID:  2002cv
otherID: 
IAUC:    UNKNOWN
RA:        154.51533  deg
DECL:       21.835  deg
REDSHIFT_FINAL:  0.005425 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 52419.6
FILTERS:    JH 
# keywords from LC processing:
# PSFTRIM: 
# PHOTCAT: 
# CNTRD_FLUX_OFFSET: 
# HOSTNAME:
# IMSIZE_PIX:
# DIST_FROM_CENTER_DEG:

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 27
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG
OBS: 52404.39 J NULL 15135 1533 17.05 0.11 0x00
OBS: 52408.35 J NULL 65463 602 15.46 0.01 0x00
OBS: 52409.35 J NULL 78704 724 15.26 0.01 0x00
OBS: 52410.32 J NULL 93756 1726 15.07 0.02 0x00
OBS: 52411.36 J NULL 109647 1009 14.9 0.01 0x00
OBS: 52412.38 J NULL 110662 1018 14.89 0.01 0x00
OBS: 52415.33 J NULL 125892 3477 14.75 0.03 0x00
OBS: 52423.41 J NULL 71121 2619 15.37 0.04 0x00
OBS: 52425.42 J NULL 52966 3414 15.69 0.07 0x00
OBS: 52426.41 J NULL 47863 881 15.8 0.02 0x00
OBS: 52427.33 J NULL 45708 1683 15.85 0.04 0x00
OBS: 52431.36 J NULL 17864 1315 16.87 0.08 0x00
OBS: 52438.35 J NULL 29376 811 16.33 0.03 0x00
OBS: 52441.53 J NULL 38370 353 16.04 0.01 0x00
OBS: 52446.36 J NULL 49203 2265 15.77 0.05 0x00
OBS: 52465.33 J NULL 44874 3718 15.87 0.09 0x00
OBS: 52468.33 J NULL 25118 2312 16.5 0.1 0x00
OBS: 52408.35 H NULL 107646 1982 14.92 0.02 0x00
OBS: 52409.35 H NULL 143218 2637 14.61 0.02 0x00
OBS: 52410.32 H NULL 149968 4142 14.56 0.03 0x00
OBS: 52411.36 H NULL 167494 3084 14.44 0.02 0x00
OBS: 52412.38 H NULL 183653 1691 14.34 0.01 0x00
OBS: 52424.38 H NULL 127057 2339 14.74 0.02 0x00
OBS: 52427.33 H NULL 130617 3608 14.71 0.03 0x00
OBS: 52431.36 H NULL 159955 5891 14.49 0.04 0x00
OBS: 52438.35 H NULL 172186 4756 14.41 0.03 0x00
OBS: 52466.33 H NULL 69823 6429 15.39 0.1 0x00
END:
