SURVEY:  PS1MD
SNID:  2002dj
otherID: 
IAUC:    UNKNOWN
RA:        198.25142  deg
DECL:       -19.51908  deg
REDSHIFT_FINAL:  0.010449 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 52451.1
FILTERS:    JH 
# keywords from LC processing:
# PSFTRIM: 
# PHOTCAT: 
# CNTRD_FLUX_OFFSET: 
# HOSTNAME:
# IMSIZE_PIX:
# DIST_FROM_CENTER_DEG:

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 42
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG
OBS: 52439.0 J NULL 55975 3092 15.63 0.06 0x00
OBS: 52440.0 J NULL 77983 2872 15.27 0.04 0x00
OBS: 52441.1 J NULL 102801 2839 14.97 0.03 0x00
OBS: 52444.1 J NULL 140604 5178 14.63 0.04 0x00
OBS: 52446.0 J NULL 147231 14912 14.58 0.11 0x00
OBS: 52450.0 J NULL 144543 3992 14.6 0.03 0x00
OBS: 52450.0 J NULL 141905 3920 14.62 0.03 0x00
OBS: 52453.1 J NULL 113762 5237 14.86 0.05 0x00
OBS: 52456.0 J NULL 75857 9080 15.3 0.13 0x00
OBS: 52464.0 J NULL 30199 2502 16.3 0.09 0x00
OBS: 52467.0 J NULL 31332 1442 16.26 0.05 0x00
OBS: 52467.0 J NULL 33113 914 16.2 0.03 0x00
OBS: 52470.0 J NULL 36982 4426 16.08 0.13 0x00
OBS: 52473.0 J NULL 45289 1668 15.86 0.04 0x00
OBS: 52481.0 J NULL 59156 3813 15.57 0.07 0x00
OBS: 52484.0 J NULL 55975 2577 15.63 0.05 0x00
OBS: 52487.0 J NULL 44055 1216 15.89 0.03 0x00
OBS: 52494.0 J NULL 23334 3008 16.58 0.14 0x00
OBS: 52497.0 J NULL 21281 1959 16.68 0.1 0x00
OBS: 52500.0 J NULL 17538 1937 16.89 0.12 0x00
OBS: 52517.0 J NULL 5248 1836 18.2 0.38 0x00
OBS: 52439.0 H NULL 55462 4596 15.64 0.09 0x00
OBS: 52440.0 H NULL 75162 4152 15.31 0.06 0x00
OBS: 52441.1 H NULL 88715 2450 15.13 0.03 0x00
OBS: 52444.1 H NULL 115877 3201 14.84 0.03 0x00
OBS: 52446.0 H NULL 120226 7749 14.8 0.07 0x00
OBS: 52450.0 H NULL 115877 6402 14.84 0.06 0x00
OBS: 52450.0 H NULL 116949 3230 14.83 0.03 0x00
OBS: 52453.1 H NULL 109647 4038 14.9 0.04 0x00
OBS: 52456.0 H NULL 92044 8475 15.09 0.1 0x00
OBS: 52464.0 H NULL 95499 4396 15.05 0.05 0x00
OBS: 52467.0 H NULL 102801 2839 14.97 0.03 0x00
OBS: 52467.0 H NULL 104712 2892 14.95 0.03 0x00
OBS: 52470.0 H NULL 119124 5484 14.81 0.05 0x00
OBS: 52473.0 H NULL 125892 3477 14.75 0.03 0x00
OBS: 52481.0 H NULL 121338 5586 14.79 0.05 0x00
OBS: 52484.0 H NULL 94623 3485 15.06 0.04 0x00
OBS: 52487.0 H NULL 80909 5215 15.23 0.07 0x00
OBS: 52494.0 H NULL 57016 4725 15.61 0.09 0x00
OBS: 52497.0 H NULL 51050 2820 15.73 0.06 0x00
OBS: 52500.0 H NULL 45708 2525 15.85 0.06 0x00
OBS: 52517.0 H NULL 21677 598 16.66 0.03 0x00
END:
