SURVEY:  PS1MD
SNID:  2006dd
otherID: 
IAUC:    UNKNOWN
RA:        50.67342  deg
DECL:       -37.20361  deg
REDSHIFT_FINAL:  0.005652 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 53919.5
FILTERS:    JH
# keywords from LC processing:
# PSFTRIM: 
# PHOTCAT: 
# CNTRD_FLUX_OFFSET: 
# HOSTNAME:
# IMSIZE_PIX:
# DIST_FROM_CENTER_DEG:

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 30
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG
OBS: 53908.9 J NULL 406630 7863 13.477 0.021 0x00
OBS: 53912.91 J NULL 723769 8663 12.851 0.013 0x00
OBS: 53914.9 J NULL 790678 13833 12.755 0.019 0x00
OBS: 53918.9 J NULL 741310 14334 12.825 0.021 0x00
OBS: 53930.88 J NULL 182641 6222 14.346 0.037 0x00
OBS: 53933.88 J NULL 166878 4456 14.444 0.029 0x00
OBS: 53937.86 J NULL 165044 4407 14.456 0.029 0x00
OBS: 53941.89 J NULL 221003 5291 14.139 0.026 0x00
OBS: 53945.88 J NULL 296210 6273 13.821 0.023 0x00
OBS: 53951.86 J NULL 281060 8799 13.878 0.034 0x00
OBS: 53961.79 J NULL 128824 3677 14.725 0.031 0x00
OBS: 53968.83 J NULL 74267 2735 15.323 0.04 0x00
OBS: 53974.82 J NULL 57174 2421 15.607 0.046 0x00
OBS: 53980.84 J NULL 36948 714 16.081 0.021 0x00
OBS: 53993.82 J NULL 19089 755 16.798 0.043 0x00
OBS: 53995.85 J NULL 16888 544 16.931 0.035 0x00
OBS: 53908.9 H NULL 384768 8503 13.537 0.024 0x00
OBS: 53914.9 H NULL 729121 12756 12.843 0.019 0x00
OBS: 53918.9 H NULL 724435 16676 12.85 0.025 0x00
OBS: 53930.88 H NULL 439339 10113 13.393 0.025 0x00
OBS: 53933.88 H NULL 480396 9731 13.296 0.022 0x00
OBS: 53937.86 H NULL 595387 11513 13.063 0.021 0x00
OBS: 53941.89 H NULL 686119 12635 12.909 0.02 0x00
OBS: 53945.88 H NULL 720443 12604 12.856 0.019 0x00
OBS: 53951.86 H NULL 558213 12850 13.133 0.025 0x00
OBS: 53961.79 H NULL 335119 7714 13.687 0.025 0x00
OBS: 53968.83 H NULL 245697 6108 14.024 0.027 0x00
OBS: 53974.82 H NULL 202674 5785 14.233 0.031 0x00
OBS: 53980.84 H NULL 143747 2647 14.606 0.02 0x00
OBS: 53995.85 H NULL 78198 1440 15.267 0.02 0x00
END:
