SURVEY:  PS1MD
SNID:  2006mr
otherID: 
IAUC:    UNKNOWN
RA:        50.6785  deg
DECL:       -37.20792  deg
REDSHIFT_FINAL:  0.005652 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 54050.44
FILTERS:    JH 
# keywords from LC processing:
# PSFTRIM: 
# PHOTCAT: 
# CNTRD_FLUX_OFFSET: 
# HOSTNAME:
# IMSIZE_PIX:
# DIST_FROM_CENTER_DEG:

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 35
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG
OBS: 54047.69 J NULL 136521 1634 14.662 0.013 0x00
OBS: 54047.69 J NULL 124738 1608 14.76 0.014 0x00
OBS: 54053.8 J NULL 257988 3563 13.971 0.015 0x00
OBS: 54053.81 J NULL 238561 3295 14.056 0.015 0x00
OBS: 54057.65 J NULL 222024 2453 14.134 0.012 0x00
OBS: 54057.66 J NULL 215973 2187 14.164 0.011 0x00
OBS: 54063.78 J NULL 119233 1976 14.809 0.018 0x00
OBS: 54067.79 J NULL 60478 1113 15.546 0.02 0x00
OBS: 54070.78 J NULL 40105 849 15.992 0.023 0x00
OBS: 54072.72 J NULL 30760 736 16.28 0.026 0x00
OBS: 54077.75 J NULL 16428 771 16.961 0.051 0x00
OBS: 54082.73 J NULL 12100 869 17.293 0.078 0x00
OBS: 54086.71 J NULL 8233 727 17.711 0.096 0x00
OBS: 54049.72 J NULL 138675 4086 14.645 0.032 0x00
OBS: 54049.73 J NULL 145747 4294 14.591 0.032 0x00
OBS: 54073.75 J NULL 26940 545 16.424 0.022 0x00
OBS: 54073.75 J NULL 26351 558 16.448 0.023 0x00
OBS: 54047.69 H NULL 145747 2549 14.591 0.019 0x00
OBS: 54053.8 H NULL 263511 3639 13.948 0.015 0x00
OBS: 54053.81 H NULL 268163 3210 13.929 0.013 0x00
OBS: 54057.65 H NULL 264484 3409 13.944 0.014 0x00
OBS: 54057.66 H NULL 268410 3707 13.928 0.015 0x00
OBS: 54063.78 H NULL 168422 2636 14.434 0.017 0x00
OBS: 54067.79 H NULL 101297 1772 14.986 0.019 0x00
OBS: 54070.78 H NULL 66252 1952 15.447 0.032 0x00
OBS: 54072.72 H NULL 56702 1618 15.616 0.031 0x00
OBS: 54090.63 H NULL 17362 895 16.901 0.056 0x00
OBS: 54093.69 H NULL 16534 1141 16.954 0.075 0x00
OBS: 54103.7 H NULL 10715 1144 17.425 0.116 0x00
OBS: 54107.61 H NULL 8558 929 17.669 0.118 0x00
OBS: 54049.72 H NULL 169824 20328 14.425 0.13 0x00
OBS: 54049.73 H NULL 172345 20630 14.409 0.13 0x00
OBS: 54073.75 H NULL 51903 2915 15.712 0.061 0x00
OBS: 54073.75 H NULL 54150 3041 15.666 0.061 0x00
OBS: 54137.63 H NULL 2537 364 18.989 0.156 0x00
END:
