SURVEY:  PS1MD
SNID:  2007on
otherID: 
IAUC:    UNKNOWN
RA:        54.71208  deg
DECL:       -35.575  deg
REDSHIFT_FINAL:  0.006186 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 54420.5
FILTERS:    YJH 
# keywords from LC processing:
# PSFTRIM: 
# PHOTCAT: 
# CNTRD_FLUX_OFFSET: 
# HOSTNAME:
# IMSIZE_PIX:
# DIST_FROM_CENTER_DEG:

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 155
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG
OBS: 54410.729999999996 Y NULL 170765 2830 14.419 0.018 0x00
OBS: 54410.74 Y NULL 165958 2597 14.45 0.017 0x00
OBS: 54412.729999999996 Y NULL 292415 4577 13.835 0.017 0x00
OBS: 54412.74 Y NULL 288403 3452 13.85 0.013 0x00
OBS: 54415.75 Y NULL 468166 6035 13.324 0.014 0x00
OBS: 54415.76 Y NULL 465157 5568 13.331 0.013 0x00
OBS: 54421.75 Y NULL 422668 10119 13.435 0.026 0x00
OBS: 54421.76 Y NULL 421502 10479 13.438 0.027 0x00
OBS: 54422.84 Y NULL 405135 9326 13.481 0.025 0x00
OBS: 54422.85 Y NULL 394094 9435 13.511 0.026 0x00
OBS: 54423.76 Y NULL 381592 9135 13.546 0.026 0x00
OBS: 54423.76 Y NULL 377050 9374 13.559 0.027 0x00
OBS: 54424.729999999996 Y NULL 372563 4116 13.572 0.012 0x00
OBS: 54424.770000000004 Y NULL 366775 4728 13.589 0.014 0x00
OBS: 54425.770000000004 Y NULL 339781 7821 13.672 0.025 0x00
OBS: 54425.78 Y NULL 339781 7821 13.672 0.025 0x00
OBS: 54426.79 Y NULL 332353 7956 13.696 0.026 0x00
OBS: 54426.8 Y NULL 325087 7782 13.72 0.026 0x00
OBS: 54427.729999999996 Y NULL 329913 7898 13.704 0.026 0x00
OBS: 54427.729999999996 Y NULL 338532 8104 13.676 0.026 0x00
OBS: 54428.729999999996 Y NULL 336046 7735 13.684 0.025 0x00
OBS: 54428.729999999996 Y NULL 328095 7854 13.71 0.026 0x00
OBS: 54431.729999999996 Y NULL 385833 4973 13.534 0.014 0x00
OBS: 54431.74 Y NULL 389403 4661 13.524 0.013 0x00
OBS: 54432.68 Y NULL 404389 4468 13.483 0.012 0x00
OBS: 54432.69 Y NULL 407380 6001 13.475 0.016 0x00
OBS: 54437.72 Y NULL 532108 5879 13.185 0.012 0x00
OBS: 54437.729999999996 Y NULL 500264 6449 13.252 0.014 0x00
OBS: 54439.7 Y NULL 534072 8360 13.181 0.017 0x00
OBS: 54439.7 Y NULL 519995 7661 13.21 0.016 0x00
OBS: 54442.72 Y NULL 436515 6833 13.4 0.017 0x00
OBS: 54442.729999999996 Y NULL 429734 7122 13.417 0.018 0x00
OBS: 54444.79 Y NULL 376010 2423 13.562 0.007 0x00
OBS: 54444.8 Y NULL 375664 2767 13.563 0.008 0x00
OBS: 54446.69 Y NULL 325386 3895 13.719 0.013 0x00
OBS: 54446.7 Y NULL 312751 4607 13.762 0.016 0x00
OBS: 54448.67 Y NULL 291339 2950 13.839 0.011 0x00
OBS: 54448.67 Y NULL 290803 2142 13.841 0.008 0x00
OBS: 54454.66 Y NULL 201929 2417 14.237 0.013 0x00
OBS: 54454.67 Y NULL 198609 2377 14.255 0.013 0x00
OBS: 54456.66 Y NULL 175711 4206 14.388 0.026 0x00
OBS: 54457.729999999996 Y NULL 164588 3940 14.459 0.026 0x00
OBS: 54457.729999999996 Y NULL 161138 3857 14.482 0.026 0x00
OBS: 54461.69 Y NULL 133168 1226 14.689 0.01 0x00
OBS: 54461.7 Y NULL 131825 1456 14.7 0.012 0x00
OBS: 54463.66 Y NULL 117381 1405 14.826 0.013 0x00
OBS: 54463.67 Y NULL 115451 1488 14.844 0.014 0x00
