SURVEY:  PS1MD
SNID:  2011at
otherID: 
IAUC:    UNKNOWN
RA:        142.23977  deg
DECL:       -14.80573  deg
MWEBV:    0.060 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  0.007871 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 55635.0
FILTERS:    JH
# keywords from LC processing:
# PSFTRIM: 
# PHOTCAT: 
# CNTRD_FLUX_OFFSET: 
# HOSTNAME:
# IMSIZE_PIX:
# DIST_FROM_CENTER_DEG:

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 27
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG
OBS: 55645.2 J NULL 41901.540 243.850 15.94 0.01 0x00
OBS: 55647.19 J NULL 43825.050 912.520 15.9 0.02 0x00
OBS: 55649.22 J NULL 44204.080 7063.790 15.89 0.17 0x00
OBS: 55650.19 J NULL 44850.420 339.830 15.87 0.01 0x00
OBS: 55651.2 J NULL 53749.720 12162.150 15.67 0.25 0x00
OBS: 55655.17 J NULL 58924.080 573.700 15.57 0.01 0x00
OBS: 55656.17 J NULL 64014.350 265.790 15.48 0.0 0x00
OBS: 55657.16 J NULL 82763.530 18727.210 15.21 0.25 0x00
OBS: 55659.18 J NULL 84003.560 167.540 15.19 0.0 0x00
OBS: 55662.18 J NULL 96140.870 1416.360 15.04 0.02 0x00
OBS: 55667.14 J NULL 64208.350 987.550 15.48 0.02 0x00
OBS: 55677.13 J NULL 32634.690 769.030 16.22 0.03 0x00
OBS: 55696.17 J NULL 8516.970 920.470 17.67 0.12 0x00
OBS: 55645.2 H NULL 132386.810 3907.160 14.7 0.03 0x00
OBS: 55647.19 H NULL 149234.870 5427.240 14.57 0.04 0x00
OBS: 55649.22 H NULL 163773.960 7361.460 14.46 0.05 0x00
OBS: 55650.19 H NULL 170814.120 27296.020 14.42 0.18 0x00
OBS: 55651.2 H NULL 175365.490 4500.800 14.39 0.03 0x00
OBS: 55655.17 H NULL 181388.110 6749.300 14.35 0.04 0x00
OBS: 55656.17 H NULL 183236.870 29281.160 14.34 0.17 0x00
OBS: 55657.16 H NULL 206309.860 32968.220 14.21 0.17 0x00
OBS: 55659.18 H NULL 179870.050 7152.300 14.36 0.04 0x00
OBS: 55662.18 H NULL 172981.360 27642.340 14.41 0.18 0x00
OBS: 55667.14 H NULL 107318.490 5561.040 14.92 0.06 0x00
OBS: 55670.13 H NULL 100669.580 16086.950 14.99 0.17 0x00
OBS: 55677.13 H NULL 79884.210 3222.090 15.24 0.04 0x00
OBS: 55696.17 H NULL 37068.560 5529.200 16.08 0.16 0x00
END:
