SURVEY:  PS1MD
SNID:  2011iv
otherID: 
IAUC:    UNKNOWN
RA:        54.71396  deg
DECL:       -35.59222  deg
REDSHIFT_FINAL:  0.006186 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 55905.3
FILTERS:    YJH 
# keywords from LC processing:
# PSFTRIM: 
# PHOTCAT: 
# CNTRD_FLUX_OFFSET: 
# HOSTNAME:
# IMSIZE_PIX:
# DIST_FROM_CENTER_DEG:

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 58
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG
OBS: 55902.7 Y NULL 664966 44698 12.943 0.073 0x00
OBS: 55903.59 Y NULL 648634 43600 12.97 0.073 0x00
OBS: 55906.66 Y NULL 546009 36702 13.157 0.073 0x00
OBS: 55907.76 Y NULL 518561 34857 13.213 0.073 0x00
OBS: 55908.74 Y NULL 496592 33380 13.26 0.073 0x00
OBS: 55908.75 Y NULL 502111 33751 13.248 0.073 0x00
OBS: 55909.65 Y NULL 485288 32620 13.285 0.073 0x00
OBS: 55909.63 Y NULL 470760 31644 13.318 0.073 0x00
OBS: 55910.65 Y NULL 482169 32410 13.292 0.073 0x00
OBS: 55912.71 Y NULL 461742 31037 13.339 0.073 0x00
OBS: 55913.63 Y NULL 456667 31117 13.351 0.074 0x00
OBS: 55914.66 Y NULL 470327 32048 13.319 0.074 0x00
OBS: 55915.63 Y NULL 495678 33319 13.262 0.073 0x00
OBS: 55927.54 Y NULL 903649 60742 12.61 0.073 0x00
OBS: 55927.55 Y NULL 918755 61757 12.592 0.073 0x00
OBS: 55929.55 Y NULL 797260 53591 12.746 0.073 0x00
OBS: 55930.53 Y NULL 833297 56013 12.698 0.073 0x00
OBS: 55931.55 Y NULL 820351 104243 12.715 0.138 0x00
OBS: 55992.57 Y NULL 32749 2201 16.212 0.073 0x00
OBS: 56001.55 Y NULL 24210 1627 16.54 0.073 0x00
OBS: 56021.48 Y NULL 16233 1136 16.974 0.076 0x00
OBS: 56022.5 Y NULL 12965 883 17.218 0.074 0x00
OBS: 55902.7 J NULL 650429 25154 12.967 0.042 0x00
OBS: 55903.59 J NULL 713838 26949 12.866 0.041 0x00
OBS: 55906.66 J NULL 676082 28014 12.925 0.045 0x00
OBS: 55907.76 J NULL 589929 22814 13.073 0.042 0x00
OBS: 55908.74 J NULL 533580 20635 13.182 0.042 0x00
OBS: 55909.65 J NULL 535549 28602 13.178 0.058 0x00
OBS: 55910.65 J NULL 470760 18206 13.318 0.042 0x00
OBS: 55911.65 J NULL 398107 1466 13.5 0.004 0x00
OBS: 55912.71 J NULL 313328 12406 13.76 0.043 0x00
OBS: 55913.63 J NULL 253746 10514 13.989 0.045 0x00
OBS: 55914.66 J NULL 227824 9440 14.106 0.045 0x00
OBS: 55915.63 J NULL 224905 8697 14.12 0.042 0x00
OBS: 55927.54 J NULL 368128 14236 13.585 0.042 0x00
OBS: 55928.56 J NULL 381592 14757 13.546 0.042 0x00
OBS: 55929.55 J NULL 310455 12292 13.77 0.043 0x00
OBS: 55931.55 J NULL 304508 11776 13.791 0.042 0x00
OBS: 55992.57 J NULL 7171 349 17.861 0.053 0x00
OBS: 56022.5 J NULL 3003 212 18.806 0.077 0x00
OBS: 55902.7 H NULL 606456 45232 13.043 0.081 0x00
OBS: 55903.59 H NULL 643872 46244 12.978 0.078 0x00
OBS: 55906.66 H NULL 628637 45729 13.004 0.079 0x00
OBS: 55907.76 H NULL 588301 42253 13.076 0.078 0x00
OBS: 55908.74 H NULL 565978 40650 13.118 0.078 0x00
OBS: 55909.65 H NULL 550554 40556 13.148 0.08 0x00
OBS: 55910.65 H NULL 550047 39506 13.149 0.078 0x00
OBS: 55910.67 H NULL 512389 36801 13.226 0.078 0x00
OBS: 55911.65 H NULL 476430 35096 13.305 0.08 0x00
OBS: 55912.71 H NULL 479954 35797 13.297 0.081 0x00
OBS: 55913.63 H NULL 416485 31830 13.451 0.083 0x00
OBS: 55914.66 H NULL 431320 32567 13.413 0.082 0x00
OBS: 55915.63 H NULL 421114 31021 13.439 0.08 0x00
OBS: 55927.54 H NULL 726440 52175 12.847 0.078 0x00
OBS: 55928.56 H NULL 688018 49415 12.906 0.078 0x00
OBS: 55929.55 H NULL 533089 38288 13.183 0.078 0x00
OBS: 55931.55 H NULL 513806 36903 13.223 0.078 0x00
OBS: 56001.55 H NULL 22929 1752 16.599 0.083 0x00
END:
